Country,Happiness.Score,Freedom,Trust..Government.Corruption,2007 Prison Rate,2008 Prison Rate,2009 Prison Rate,2010 Prison Rate,2011 Prison Rate,2012 Prison Rate,2013 Prison Rate,2014 Prison Rate,2015 Prison Rate,2016 Prison Rate,Prison Rate Average
Belize,5.955999851226809,0.5475093722343439,0.0965810716152191,,445.8,885.9,722.0,695.0,756.2,764.7,741.0,,517.1,691.0
Benin,3.65700006484985,0.42596277594566295,0.0609290152788162,,69.9,,75.1,,,,68.7,,,71.2
Bhutan,5.01100015640259,0.5015376806259161,0.17338038980960802,,,,,135.2,144.4,141.7,144.1,,,141.4
Bosnia and Herzegovina,5.18200016021729,0.204403176903725,0.0,,70.7,,73.7,74.7,80.3,80.4,79.2,77.2,,76.6
Botswana,3.7660000324249303,0.505196332931519,0.0985831990838051,465.5,455.5,439.7,347.7,229.7,203.0,179.8,190.5,179.3,,299.0
Brazil,6.6350002288818395,0.437453746795654,0.11109276115894301,221.2,233.8,252.2,261.2,269.1,284.4,299.5,297.6,339.2,350.2,280.8
Bulgaria,4.71400022506714,0.28923171758651695,0.0110515309497714,135.7,125.3,120.8,126.7,134.4,129.9,121.6,109.0,103.2,103.0,121.0
Burkina Faso,4.03200006484985,0.32436785101890603,0.12032810598611803,29.5,32.7,,33.3,31.3,30.4,,38.8,41.7,,34.0
Burundi,2.90499997138977,0.0599007532000542,0.0841479450464249,105.1,120.9,127.4,112.0,115.4,68.3,81.1,76.5,90.5,96.0,99.3
Cambodia,4.1680002212524405,0.633375823497772,0.0681059509515762,75.6,84.2,,98.1,,104.2,,99.4,,,92.3
Cameroon,4.69500017166138,0.430388748645782,0.0513066314160824,,,120.3,119.0,111.2,108.6,116.9,116.5,116.9,,115.6
Canada,7.31599998474121,0.611100912094116,0.287371516227722,116.4,116.9,114.8,115.6,116.5,116.7,107.4,114.2,114.5,104.4,113.7
Central African Republic,2.69300007820129,0.270842045545578,0.0565650761127472,28.8,,48.7,,18.9,,,,16.8,,28.3
Chad,3.9360001087188703,0.16234202682972002,0.0535818822681904,,,,40.2,39.3,,,,,,39.8
Chile,6.65199995040894,0.376895278692245,0.0822879821062088,291.6,321.3,344.9,354.0,345.5,325.7,303.8,279.7,268.9,273.2,310.9
China,5.2729997634887695,0.47278770804405196,0.0227942746132612,117.2,118.2,120.1,121.1,121.2,119.4,121.5,118.7,114.8,111.3,118.4
Colombia,6.35699987411499,0.47748741507530196,0.0466687418520451,143.3,155.8,167.3,183.9,216.5,242.9,253.5,237.7,249.7,243.8,209.4
Costa Rica,7.0789999961853,0.580131649971008,0.100106589496136,171.6,185.7,210.1,231.9,264.2,288.1,290.0,291.2,291.2,274.7,249.9
Croatia,5.2930002212524405,0.255772292613983,0.0431031100451946,98.3,108.8,112.7,119.3,117.9,110.3,101.7,88.4,78.9,73.8,101.0
Cyprus,5.62099981307983,0.35511153936386103,0.0412379764020443,51.4,60.3,52.6,57.2,55.3,59.7,48.3,46.2,47.1,,53.1
Denmark,7.52199983596802,0.626006722450256,0.40077006816863997,66.3,62.8,67.3,71.0,70.7,68.2,72.6,63.3,56.3,59.7,65.8
Dominican Republic,5.230000019073491,0.55258983373642,0.113945253193378,,173.5,,209.6,218.2,236.8,240.7,242.2,,157.4,211.2
Ecuador,6.00799989700317,0.4551981985569,0.140134647488594,,83.5,,79.0,,138.2,162.8,151.1,,211.6,137.7
Egypt,4.7350001335144,0.28211015462875394,0.114381365478039,,,,,76.8,,,,,110.9,93.8
El Salvador,6.002999782562259,0.432452529668808,0.0899809598922729,293.7,324.3,360.1,400.1,409.6,456.2,429.5,451.1,517.2,,404.6
Estonia,5.61100006103516,0.479131430387497,0.18324892222881303,257.1,272.9,266.1,254.7,255.9,248.0,235.5,230.1,214.6,,248.3
Ethiopia,4.46000003814697,0.408842742443085,0.16545571386814098,,103.0,,119.1,,120.1,,116.8,,,114.8
Finland,7.468999862670901,0.6179508566856379,0.38261154294014,68.4,66.4,67.2,62.7,60.6,61.1,60.6,57.7,57.2,57.4,61.9
France,6.44199991226196,0.470222115516663,0.172502428293228,98.6,99.9,97.3,96.1,102.3,104.6,104.9,103.2,103.4,105.8,101.6
