Americas,South America,Chile,UN-CTS,38086,38064,38849,42532,48090,53541,58044,60148,59261,56372,53050,49258,47772,48922,,241.1,238.3,240.6,260.6,291.6,321.3,344.9,354.0,345.5,325.7,303.8,279.7,268.9,273.2
Asia,Eastern Asia,China,UN-CTS,1546130,1562742,1558511,1565711,1566839,1589222,1623394,1646593,1656773,1641931,1680000,1649804,1604394,1561086,,118.4,118.9,117.9,117.8,117.2,118.2,120.1,121.1,121.2,119.4,121.5,118.7,114.8,111.3
Asia,Eastern Asia,"China, Hong Kong Special Administrative Region",UN-CTS,13012,12558,11530,11640,11220,10738,10118,10159,9294,9468,9192,,,8611,,191.8,184.6,168.9,169.7,162.6,154.7,144.9,144.6,131.5,133.2,128.6,,,117.9
Asia,Eastern Asia,"China, Macao Special Administrative Region",UN-CTS/WPB-ICPR,,867,897,859,,912,930,929,1030,1112,1154,1205,1280,1271,,,183.9,185.9,174.1,,177.3,177.0,173.0,187.5,197.7,200.4,204.7,213.0,208.0
Americas,South America,Colombia,UN-CTS,62277,68020,66829,60021,63603,69979,75992,84444,100451,113884,120032,113623,120444,118532,,147.7,159.2,154.4,136.9,143.3,155.8,167.3,183.9,216.5,242.9,253.5,237.7,249.7,243.8
Africa,Eastern Africa,Comoros,WPB-ICPR,,,,,,,150,,,,206,,145,,,,,,,,,22.3,,,,27.8,,18.7,
Africa,Middle Africa,Congo,WPB-ICPR,,,1550,,1642,,2410,,1400,,1500,1240,,,,,,41.7,,41.3,,56.7,,31.0,,31.6,25.5,,
Oceania,Polynesia,Cook Islands,WPB-ICPR,,,27,,26,,,40,,34,,37,37,,,,,137.0,,133.3,,,215.7,,188.9,,210.4,212.0,
Americas,Central America,Costa Rica,UN-CTS,,9056,8818,7712,7500,8225,9431,10541,12154,13407,13647,13854,13999,13338,,,216.3,207.6,179.0,171.6,185.7,210.1,231.9,264.2,288.1,290.0,291.2,291.2,274.7
Africa,Western Africa,Côte d'Ivoire,WPB-ICPR,,,,13385,,11143,,,,7086,,,12147,,,,,,71.6,,57.1,,,,33.1,,,52.6,
