,Compound,Date,Negative,Network,Neutral,Positive,Text,Tweets Ago
12,0.0,Sat Sep 29 17:19:02 +0000 2018,1.0,@NB_ED4ever,0.0,0.0,@ChaplyginAndrei analyze tweets of @SuperMario_UK,13
13,0.3818,Wed Sep 26 02:44:56 +0000 2018,0.698,@NB_ED4ever,0.0,0.302,Weather condition right now is clear sky,14
14,0.0,Wed Sep 26 02:43:25 +0000 2018,1.0,@NB_ED4ever,0.0,0.0,Weather condition right now is stations,15
15,0.0,Sat Sep 22 20:49:59 +0000 2018,1.0,@NB_ED4ever,0.0,0.0,Hey Programming on Saturday,16
16,0.0,Fri Sep 21 21:42:22 +0000 2018,1.0,@NB_ED4ever,0.0,0.0,@KristianNairn @Warcraft For the Alliance!!,17
17,0.0,Fri Sep 21 21:41:22 +0000 2018,1.0,@NB_ED4ever,0.0,0.0,https://t.co/M09Fzw6Rfh,18
18,0.0,Thu Sep 20 00:37:57 +0000 2018,1.0,@NB_ED4ever,0.0,0.0,"""Google AI with Jeff Dean""
 https://t.co/3DPDvuSThY via @gcppodcast",19
19,0.5859,Tue Sep 11 04:07:46 +0000 2018,0.759,@NB_ED4ever,0.0,0.241,“30 Amazing Machine Learning Projects for the Past Year (v.2018)” by @Mybridge https://t.co/9O1b9zzC5M,20
20,0.0,Tue Oct 02 18:48:42 +0000 2018,1.0,@NB_ED4ever,0.0,0.0,@sherryjystad5 how about perform analysis on @peter_pan_daz and @CO2_Dispenser,21
21,0.0,Tue Oct 02 18:42:42 +0000 2018,1.0,@NB_ED4ever,0.0,0.0,@pan_bot Analyze:@CO2_Dispenser,22
22,0.0,Tue Oct 02 18:42:33 +0000 2018,1.0,@NB_ED4ever,0.0,0.0,@pan_bot Analyze:@sherryjystad5,23
23,0.0,Tue Oct 02 13:32:37 +0000 2018,1.0,@NB_ED4ever,0.0,0.0,"Here you go @peter_pan_daz, this will cost you 1 gummy bear https://t.co/vguMgpR8YV",24
24,0.0,Tue Oct 02 03:28:46 +0000 2018,1.0,@NB_ED4ever,0.0,0.0,"Here you go @NakamotoThomas, this will cost you 1 gummy bear https://t.co/Pmc94zrSWK",25
25,0.0,Tue Oct 02 03:16:14 +0000 2018,1.0,@NB_ED4ever,0.0,0.0,"Here you go @CO2_Dispenser, this will cost you 1 gummy bear https://t.co/bhD6EUtCOU",26
