Asia,South-Eastern Asia,Cambodia,WPB-ICPR,,"6,778","8,160","10,338","10,337","11,688",,"14,043",,"15,397",,"15,182",,,,,51.9,61.5,76.7,75.6,84.2,,98.1,,104.2,,99.4,,
Africa,Middle Africa,Cameroon,UN-CTS/WPB-ICPR,"20,000",,"22,734",,,,"23,368","23,766","22,812","22,891","25,314","25,909","26,702",,,121.1,,130.5,,,,120.3,119.0,111.2,108.6,116.9,116.5,116.9,
Americas,Northern America,Canada,UN-CTS,"34,153","33,849","35,032","37,452","38,419","39,050","38,804","39,489","40,229","40,718","37,864","40,663","41,145","37,864",,108.0,105.9,108.5,114.7,116.4,116.9,114.8,115.6,116.5,116.7,107.4,114.2,114.5,104.4
Americas,Caribbean,Cayman Islands,WPB-ICPR,,188,,210,,203,,212,,185,,186,,,,,397.5,,419.7,,383.6,,381.9,,321.6,,314.3,,
Africa,Middle Africa,Central African Republic,WPB-ICPR,,,"1,000",,"1,233",,"2,145",,845,,,,764,,,,,24.2,,28.8,,48.7,,18.9,,,,16.8,
Africa,Middle Africa,Chad,WPB-ICPR,,,"3,416",,,,,"4,775","4,831",,,,,,,,,33.9,,,,,40.2,39.3,,,,,
Americas,South America,Chile,UN-CTS,"38,086","38,064","38,849","42,532","48,090","53,541","58,044","60,148","59,261","56,372","53,050","49,258","47,772","48,922",,241.1,238.3,240.6,260.6,291.6,321.3,344.9,354.0,345.5,325.7,303.8,279.7,268.9,273.2
Asia,Eastern Asia,China,UN-CTS,"1,546,130","1,562,742","1,558,511","1,565,711","1,566,839","1,589,222","1,623,394","1,646,593","1,656,773","1,641,931","1,680,000","1,649,804","1,604,394","1,561,086",,118.4,118.9,117.9,117.8,117.2,118.2,120.1,121.1,121.2,119.4,121.5,118.7,114.8,111.3
Asia,Eastern Asia,"China, Hong Kong Special Administrative Region",UN-CTS,"13,012","12,558","11,530","11,640","11,220","10,738","10,118","10,159","9,294","9,468","9,192",,,"8,611",,191.8,184.6,168.9,169.7,162.6,154.7,144.9,144.6,131.5,133.2,128.6,,,117.9
Asia,Eastern Asia,"China, Macao Special Administrative Region",UN-CTS/WPB-ICPR,,867,897,859,,912,930,929,"1,030","1,112","1,154","1,205","1,280","1,271",,,183.9,185.9,174.1,,177.3,177.0,173.0,187.5,197.7,200.4,204.7,213.0,208.0
Americas,South America,Colombia,UN-CTS,"62,277","68,020","66,829","60,021","63,603","69,979","75,992","84,444","100,451","113,884","120,032","113,623","120,444","118,532",,147.7,159.2,154.4,136.9,143.3,155.8,167.3,183.9,216.5,242.9,253.5,237.7,249.7,243.8
Africa,Eastern Africa,Comoros,WPB-ICPR,,,,,,,150,,,,206,,145,,,,,,,,,22.3,,,,27.8,,18.7,
Africa,Middle Africa,Congo,WPB-ICPR,,,"1,550",,"1,642",,"2,410",,"1,400",,"1,500","1,240",,,,,,41.7,,41.3,,56.7,,31.0,,31.6,25.5,,
Oceania,Polynesia,Cook Islands,WPB-ICPR,,,27,,26,,,40,,34,,37,37,,,,,137.0,,133.3,,,215.7,,188.9,,210.4,212.0,
Americas,Central America,Costa Rica,UN-CTS,,"9,056","8,818","7,712","7,500","8,225","9,431","10,541","12,154","13,407","13,647","13,854","13,999","13,338",,,216.3,207.6,179.0,171.6,185.7,210.1,231.9,264.2,288.1,290.0,291.2,291.2,274.7
Africa,Western Africa,Côte d'Ivoire,WPB-ICPR,,,,"13,385",,"11,143",,,,"7,086",,,"12,147",,,,,,71.6,,57.1,,,,33.1,,,52.6,
Europe,Southern Europe,Croatia,UN-CTS,"2,805","3,029","3,485","3,833","4,290","4,734","4,891","5,165","5,084","4,741","4,352","3,763","3,341","3,108",,63.9,69.1,79.6,87.7,98.3,108.8,112.7,119.3,117.9,110.3,101.7,88.4,78.9,73.8
Americas,Caribbean,Cuba,WPB-ICPR,"55,000",,,"60,000",,,,,,"57,337",,,,,,489.1,,,531.2,,,,,,503.7,,,,
Americas,Caribbean,Curaçao,WPB-ICPR,,,,578,,,,541,,440,,348,,,,,,,438.2,,,,366.5,,287.6,,222.3,,
Asia,Western Asia,Cyprus,UN-CTS,359,454,502,578,547,652,578,636,622,678,553,532,547,,,36.1,44.9,48.8,55.3,51.4,60.3,52.6,57.2,55.3,59.7,48.3,46.2,47.1,
Europe,Eastern Europe,Czechia,UN-CTS/WPB-ICPR,"17,360","18,343","18,937","18,578","18,901","20,502","21,853","21,900","23,170","22,644","16,645","18,658","20,866","22,481",,169.5,179.1,184.6,180.4,182.5,196.7,208.4,207.9,219.2,213.9,157.1,176.0,196.8,211.9
Africa,Middle Africa,Democratic Republic of the Congo,WPB-ICPR,,"30,000",,,,,,"22,000",,,,,"20,550",,,,56.6,,,,,,34.1,,,,,27.0,
Europe,Northern Europe,Denmark,UN-CTS,"3,641","3,767","4,041","3,932","3,624","3,451","3,721","3,944","3,947","3,829","4,091","3,583","3,203","3,408",,67.6,69.7,74.5,72.2,66.3,62.8,67.3,71.0,70.7,68.2,72.6,63.3,56.3,59.7
Africa,Eastern Africa,Djibouti,WPB-ICPR,,,,,,,525,,750,,550,,600,600,,,,,,,,62.7,,86.6,,61.3,,64.7,63.7
Americas,Caribbean,Dominica,WPB-ICPR,243,290,282,301,254,235,,295,,275,266,,219,,,346.7,412.1,399.3,425.1,358.0,330.6,,412.9,,381.7,367.4,,299.3,
Americas,Caribbean,Dominican Republic,UN-CTS/WPB-ICPR,"16,789","13,008","12,657","13,752",,"16,718",,"20,743","21,875","24,044","24,744","25,203",,"16,750",,187.2,142.9,137.0,146.7,,173.5,,209.6,218.2,236.8,240.7,242.2,,157.4
Americas,South America,Ecuador,UN-CTS/WPB-ICPR,"9,866","11,358","11,971","12,635",,"12,067",,"11,800",,"21,305","25,494","24,036",,"34,665",,74.2,84.1,87.2,90.5,,83.5,,79.0,,138.2,162.8,151.1,,211.6
Africa,Northern Africa,Egypt,WPB-ICPR,,,,"64,378",,,,,"66,000",,,,,"106,000",,,,,82.4,,,,,76.8,,,,,110.9
Americas,Central America,El Salvador,UN-CTS/WPB-ICPR,,"12,073","12,525","14,771","17,867","19,814","22,101","24,662","25,367","28,383","26,848","28,334","32,645",,,,201.2,207.7,243.9,293.7,324.3,360.1,400.1,409.6,456.2,429.5,451.1,517.2,
Africa,Middle Africa,Equatorial Guinea,WPB-ICPR,,,,,,,,,,,,,500,,,,,,,,,,,,,,,42.5,
Europe,Northern Europe,Estonia,UN-CTS,"4,576","4,565","4,410","4,310","3,456","3,656","3,555","3,393","3,400","3,286","3,112","3,034","2,823",,,333.3,334.8,325.3,319.4,257.1,272.9,266.1,254.7,255.9,248.0,235.5,230.1,214.6,
Africa,Eastern Africa,Ethiopia,WPB-ICPR,,"74,413",,"72,211",,"85,664",,"104,467",,"111,050",,"113,727",,,,,99.7,,91.6,,103.0,,119.1,,120.1,,116.8,,
Europe,Northern Europe,Faroe Islands,UN-CTS/WPB-ICPR,13,,10,12,,12,9,8,8,8,10,11,10,8,,27.1,,20.7,24.8,,24.7,18.6,16.5,16.5,16.4,20.5,22.5,20.4,16.3
Oceania,Melanesia,Fiji,WPB-ICPR,,"1,083","1,113","1,121",,919,,"1,097",,"1,397",,"1,540","1,555",,,,132.3,135.4,135.5,,109.0,,127.6,,159.9,,173.9,174.3,
Europe,Northern Europe,Finland,UN-CTS,"3,641","3,704","3,867","3,851","3,625","3,530","3,589","3,364","3,268","3,306","3,295","3,148","3,135","3,156",,69.7,70.7,73.5,73.0,68.4,66.4,67.2,62.7,60.6,61.1,60.6,57.7,57.2,57.4
